experiment,inputs,target,threshold_metric,best_val_threshold,best_val_f1,val_f1,val_iou,val_precision,val_recall,val_pr_auc,val_roc_auc,val_brier,test_f1,test_iou,test_precision,test_recall,test_pr_auc,test_roc_auc,test_brier,task_type,val_rmse,val_r_squared,val_mae,val_pearson_corr,test_rmse,test_r_squared,test_mae,test_pearson_corr
dc_bc_cc_hw_to_id,"DC, BC, CC, is_heatwave",ID,,,,,,,,,,,,,,,,,,regression,259.47259521484375,-0.0295296907424926,55.08932876586914,0.1007747011418625,736.8709716796875,-0.0535874366760253,214.78347778320312,0.1532547540543305
dc_bc_cc_hw_to_od,"DC, BC, CC, is_heatwave",OD,,,,,,,,,,,,,,,,,,regression,481.0545043945313,0.1177493333816528,114.79078674316406,0.5230549073069666,528.981201171875,0.1159361004829406,151.4597625732422,0.4324873458894764
all_coeff_to_hw,"DC, BC, CC, ID, OD, is_heatwave",is_heatwave,f1,0.74,0.602221026368573,0.602221026368573,0.4308413831421782,0.5678044280442804,0.6410790542651807,0.6385271186657799,0.8637714553143349,0.1620867550373077,0.7740613897513043,0.6314030598594641,0.7525048229510237,0.796889416106498,0.7920077230374042,0.8853457967221348,0.1577987223863601,binary,,,,,,,,
bc_dc_od_id_hw_to_cc,"DC, BC, ID, OD, is_heatwave",CC,,,,,,,,,,,,,,,,,,CC_regression,0.2464944869279861,0.4932111501693725,0.1186204478144645,0.7044797502298239,0.2567655146121979,0.6386423110961914,0.1358762681484222,0.8076549981330594
bc_dc_cc_id_od_to_hw,"DC, BC, CC, ID, OD",is_heatwave,f1,0.6399999999999999,0.5879144133552786,0.5879144133552786,0.4163447448770251,0.5359224965706447,0.6510780127070097,0.6377370377137164,0.8693547998806016,0.1811976432800293,0.7481483757951997,0.5976334265921524,0.7009501871580766,0.8021615921971794,0.7476086591564879,0.8654206125639649,0.1821757704019546,binary,,,,,,,,
dc_cc_id_od_to_hw,"DC, CC, ID, OD",is_heatwave,f1,0.69,0.603877300613497,0.603877300613497,0.4325388455014737,0.5710042695377762,0.6407665868138736,0.661365704428787,0.881488766192442,0.1627013385295868,0.7594011252741664,0.6121246284404979,0.7334970832054037,0.7872017925398709,0.7495855434534734,0.8685649682299779,0.1649379134178161,binary,,,,,,,,
bc_cc_id_od_to_hw,"BC, CC, ID, OD",is_heatwave,f1,0.6599999999999999,0.5978899126366544,0.5978899126366544,0.4264215185273121,0.5519125683060109,0.652223726695136,0.6311039022541259,0.8623277679397292,0.1875866949558258,0.7553701903477689,0.6069035021110152,0.7205504038288962,0.7937261104520891,0.74245869635551,0.8633997306090914,0.1878978013992309,binary,,,,,,,,
bc_dc_id_od_to_hw,"BC, DC, ID, OD",is_heatwave,f1,0.6699999999999999,0.5777588410737111,0.5777588410737111,0.4062312761862571,0.5295955563270266,0.6355587959587543,0.6121087881313155,0.8622930591157046,0.1728150099515915,0.7292379751396145,0.5738588034886183,0.6697551290536069,0.8003163305654409,0.7477469941426369,0.8760792109888957,0.1728832870721817,binary,,,,,,,,
bc_dc_cc_od_to_hw,"BC, DC, CC, OD",is_heatwave,f1,0.7599999999999999,0.596632149424175,0.596632149424175,0.4251430935504349,0.5571622232263895,0.6421206124362046,0.6366866669433712,0.8700528863878838,0.1953395009040832,0.7491575599155985,0.5989224029105734,0.7174135955123953,0.7838407802820614,0.7752923535158037,0.8777771116496877,0.1883955001831054,binary,,,,,,,,
bc_dc_cc_id_to_hw,"BC, DC, CC, ID",is_heatwave,f1,0.8499999999999999,0.5860279009408457,0.5860279009408457,0.4144550668899078,0.6093556730012369,0.5644203728778252,0.6585760246408905,0.8761870649007645,0.191069096326828,0.6957677509618748,0.5334692125867051,0.7413536076326774,0.6554632924739686,0.7238422019977434,0.8643792554692082,0.1859705746173858,binary,,,,,,,,
