region,task,ablation,r2,pearson,mae,roc,pr_auc,best_f1,iou
full_europe_2003,CC,cn_only,0.5672992467880249,0.7602772704637785,0.04631417244672775,,,,
full_europe_2003,CC,era5_only,-0.15011680126190186,0.1522220203962715,0.10399559140205383,,,,
full_europe_2003,CC,cn_era5,0.5642040967941284,0.7583511585390638,0.045686475932598114,,,,
full_europe_2003,BC,cn_only,0.5585126876831055,0.7511414493267293,3.19853711516771,,,,
full_europe_2003,BC,era5_only,-0.08048534393310547,0.14006336015640955,6.449447482737014,,,,
full_europe_2003,BC,cn_era5,0.563233494758606,0.7530485744048883,3.294829866717919,,,,
full_europe_2003,DC,cn_only,0.5991157293319702,0.7767776961265779,0.005547311622649431,,,,
full_europe_2003,DC,era5_only,0.0010508894920349121,0.32430552266427537,0.010893993079662323,,,,
full_europe_2003,DC,cn_era5,0.6021851897239685,0.7782745181144595,0.00572012085467577,,,,
full_europe_2003,HW,cn_only,,,,0.9033911203109832,0.6629095168885187,0.6550991829398728,0.43394643433365604
full_europe_2003,HW,era5_only,,,,0.8447569709311357,0.24866791915595562,0.33526179794423305,0.2009860155140391
full_europe_2003,HW,cn_era5,,,,0.9370515757049699,0.6741921991892843,0.6545687371726279,0.3325886415891722
full_europe_2010,CC,cn_only,0.649563193321228,0.8099314402736032,0.041311200708150864,,,,
full_europe_2010,CC,era5_only,0.17388761043548584,0.4615623598052653,0.09473724663257599,,,,
full_europe_2010,CC,cn_era5,0.6496917009353638,0.8092781279154366,0.041524529457092285,,,,
full_europe_2010,BC,cn_only,0.657568097114563,0.8163971629976493,3.552624718849984,,,,
full_europe_2010,BC,era5_only,0.10736876726150513,0.42586968902451267,7.015305527602322,,,,
full_europe_2010,BC,cn_era5,0.65804523229599,0.813399963355855,3.491697384561121,,,,
full_europe_2010,DC,cn_only,0.6613963842391968,0.8275673483968166,0.007517256308346987,,,,
full_europe_2010,DC,era5_only,0.017532706260681152,0.5942996729157357,0.013560552150011063,,,,
full_europe_2010,DC,cn_era5,0.6868041157722473,0.8320767356639407,0.006388519890606403,,,,
full_europe_2010,HW,cn_only,,,,0.9257078374534412,0.7196104240373287,0.7145347784084047,0.5171394799054374
full_europe_2010,HW,era5_only,,,,0.9123044696902147,0.5256385780518191,0.5054065501779463,0.30939034465323245
full_europe_2010,HW,cn_era5,,,,0.9472943627963938,0.7215052262962659,0.7140501200337802,0.4741112598882191
full_europe_2018,CC,cn_only,0.5126479864120483,0.7242798226349813,0.036530639976263046,,,,
full_europe_2018,CC,era5_only,0.01764148473739624,0.2120831531506128,0.07502003014087677,,,,
full_europe_2018,CC,cn_era5,0.5202155113220215,0.7283446293967207,0.0364142470061779,,,,
full_europe_2018,BC,cn_only,0.49210089445114136,0.7092659702687104,2.3719945829725475,,,,
full_europe_2018,BC,era5_only,0.0014862418174743652,0.1668148032415009,4.240958446644072,,,,
full_europe_2018,BC,cn_era5,0.4925907850265503,0.7081115437299124,2.409565809102787,,,,
full_europe_2018,DC,cn_only,0.5288963913917542,0.7316736669577998,0.003938355483114719,,,,
full_europe_2018,DC,era5_only,0.030378639698028564,0.2369166794291474,0.007215228863060474,,,,
full_europe_2018,DC,cn_era5,0.5278952121734619,0.732662534851052,0.004097497556358576,,,,
full_europe_2018,HW,cn_only,,,,0.8980781552713931,0.625587872027698,0.6030816193486395,0.398921950686528
full_europe_2018,HW,era5_only,,,,0.8559898289443016,0.1891772537806084,0.2814005782203662,0.16244052663354436
full_europe_2018,HW,cn_era5,,,,0.936118915599632,0.6391259264246201,0.6110112253412472,0.33533776720998887
