region,task,ablation,r2,pearson,mae
iberia_2003,BC,cn_era5,0.082150399684906,0.6070186007187746,1.5633231669198722
iberia_2003,DC,cn_era5,0.05748409032821655,0.5649152422312975,0.02856375277042389
iberia_2003,CC,cn_era5,0.33544665575027466,0.6293436470736564,0.21850942075252533
mediterranean_2003,BC,cn_era5,0.2596200108528137,0.5944635012099404,1.055112193171226
mediterranean_2003,DC,cn_era5,0.19228339195251465,0.5466146235963888,0.02019551582634449
mediterranean_2003,CC,cn_era5,0.3060882091522217,0.5636914686488199,0.21285992860794067
eastern_europe_2010,BC,cn_era5,0.017802417278289795,0.5515548964874222,2.78065022030205
eastern_europe_2010,DC,cn_era5,0.01880747079849243,0.5540875550539922,0.0524647980928421
eastern_europe_2010,CC,cn_era5,0.08830434083938599,0.5121211276289127,0.33030426502227783
scandinavia_2018,BC,cn_era5,-0.08189558982849121,0.4291042803315763,8.494997700836393
scandinavia_2018,DC,cn_era5,0.024278223514556885,0.4527247500145205,0.018208038061857224
scandinavia_2018,CC,cn_era5,-0.46175718307495117,0.36664231658854185,0.15083958208560944
